asset_id,driver_rank,feature,feature_value,risk_contribution_log_time,direction
82710,3,pressure_zone,KIT 5,-0.2926585735549452,reduces risk
60970,1,age_years,55.0018,0.6684932708740234,raises risk
60970,2,pipe_size,200,0.16789750754833221,raises risk
60970,3,pressure_zone,KIT 5,0.0666585171566112,raises risk
82712,1,length_m,12.4898,-0.6138485670089722,reduces risk
82712,2,pipe_size,300,-0.21614697575569153,reduces risk
82712,3,age_years,52.0011,0.14788568019866943,raises risk
82714,1,length_m,87.4584,0.3835991322994232,raises risk
82714,2,age_years,52.0011,0.3764284551143646,raises risk
82714,3,pipe_size,300,-0.34235215187072754,reduces risk
1660,1,length_m,181.443,0.33891087770462036,raises risk
1660,2,age_years,52.0011,0.29530632495880127,raises risk
1660,3,pipe_size,300,-0.2194080948829651,reduces risk
82716,1,age_years,23.5871,-0.8390404582023621,reduces risk
82716,2,length_m,7.13403,-0.6623510122299194,reduces risk
82716,3,pressure_zone,KIT 2W,-0.554561374392506,reduces risk
82718,1,length_m,10.7447,-0.930903971195221,reduces risk
82718,2,age_years,23.5871,-0.6505993008613586,reduces risk
82718,3,pressure_zone,KIT 2W,-0.6187815943594615,reduces risk
68410,1,age_years,23.5871,-0.7038179636001587,reduces risk
68410,2,material,PVC,-0.4748725106001075,reduces risk
68410,3,pressure_zone,KIT 2W,-0.4632890067623521,reduces risk
82720,1,material,PVC,-0.4424326179687341,reduces risk
82720,2,age_years,20.2523,-0.1821567714214325,reduces risk
82720,3,length_m,77.4988,0.09753154218196869,raises risk
72670,1,age_years,20.2523,-0.4621741771697998,reduces risk
72670,2,material,PVC,-0.4227950394815707,reduces risk
72670,3,length_m,94.7712,0.32380205392837524,raises risk
82722,1,length_m,9.10126,-0.7364609837532043,reduces risk
82722,2,age_years,20.2523,-0.5881429314613342,reduces risk
82722,3,material,PVC,-0.24532878592071938,reduces risk
82724,1,length_m,5.28768,-1.444957971572876,reduces risk
82724,2,past_break_count,1,0.3390013873577118,raises risk
82724,3,years_since_last_break,11.0967,0.24679273692891002,raises risk
40520,1,past_break_count,1,0.5592548251152039,raises risk
40520,2,years_since_last_break,6.56003,0.3291716817766428,raises risk
40520,3,age_years,50.4213,0.26874300837516785,raises risk
82726,1,length_m,15.4824,-0.276597261428833,reduces risk
82726,2,age_years,50.4213,0.24053341150283813,raises risk
82726,3,pipe_size,300,-0.23659858107566833,reduces risk
82728,1,length_m,1.5045,-2.502772331237793,reduces risk
82728,2,age_years,50.4213,-0.39851394295692444,reduces risk
82728,3,pipe_size,300,-0.1955525428056717,reduces risk
82730,1,age_years,50.4213,0.25653156638145447,raises risk
82730,2,pipe_size,300,-0.23316451907157898,reduces risk
82730,3,length_m,38.5887,0.12538433074951172,raises risk
76420,1,age_years,16.0962,-0.8346807956695557,reduces risk
76420,2,material,PVC,-0.6104706885635096,reduces risk
76420,3,length_m,132.727,-0.4044632911682129,reduces risk
82732,1,age_years,16.0962,-0.9810642004013062,reduces risk
82732,2,length_m,10.5487,-0.9389274716377258,reduces risk
82732,3,material,PVC,-0.43846238249898306,reduces risk
76442,1,material,CI,0.408584978129511,raises risk
76442,2,age_years,76.0016,0.18799452483654022,raises risk
76442,3,length_m,128.12,-0.08704397827386856,reduces risk
82734,1,length_m,8.35456,-0.8277995586395264,reduces risk
82734,2,age_years,22.5877,-0.38006579875946045,reduces risk
82734,3,material,PVC,-0.20495331203346723,reduces risk
82736,1,length_m,5.0879,-1.5326005220413208,reduces risk
82736,2,age_years,22.5877,-0.3908555805683136,reduces risk
82736,3,material,PVC,-0.20889766661639442,reduces risk
69450,1,length_m,12.2089,-0.65818190574646,reduces risk
69450,2,age_years,22.5877,-0.34290173649787903,reduces risk
69450,3,material,PVC,-0.2109887883598276,reduces risk
41580,1,length_m,124.897,0.39043113589286804,raises risk
41580,2,age_years,35.5052,-0.13558809459209442,reduces risk
41580,3,pipe_size,300,-0.10255096107721329,reduces risk
82738,1,length_m,24.9683,-0.9203011989593506,reduces risk
82738,2,pipe_size,300,-0.2228725701570511,reduces risk
82738,3,age_years,48.001,0.12850965559482574,raises risk
38420,1,pipe_size,300,-0.24626415967941284,reduces risk
38420,2,age_years,48.001,0.1217338889837265,raises risk
38420,3,length_m,76.7401,0.10954324156045914,raises risk
82740,1,length_m,6.10224,-1.4969122409820557,reduces risk
82740,2,material,CI,0.42795576320713735,raises risk
82740,3,age_years,68.0014,-0.18614520132541656,reduces risk
21200,1,material,CI,0.4259019263445225,raises risk
21200,2,length_m,85.7623,0.26528501510620117,raises risk
21200,3,pipe_size,150,0.07952803373336792,raises risk
82744,1,length_m,2.82045,-1.346587896347046,reduces risk
82744,2,age_years,18.5877,-0.8009724020957947,reduces risk
82744,3,pressure_zone,KIT 2E,-0.7113223863889289,reduces risk
69463,1,length_m,35.3764,-0.8290188312530518,reduces risk
69463,2,pressure_zone,KIT 2E,-0.7708128016565752,reduces risk
69463,3,age_years,18.5877,-0.6809373497962952,reduces risk
82746,1,length_m,0.612508,-0.6226744651794434,reduces risk
82746,2,pipe_size,300,-0.4341714084148407,reduces risk
82746,3,age_years,62.0026,0.3630487322807312,raises risk
82748,1,pipe_size,300,-0.45655709505081177,reduces risk
82748,2,length_m,31.4296,-0.40438780188560486,reduces risk
82748,3,material,CI,0.30941391973465215,raises risk
82750,1,length_m,199.861,0.6034789681434631,raises risk
82750,2,material,CI,0.3531389182971907,raises risk
