asset_id,as_of_date,age_years,material,pipe_size,length_m,pressure_zone,past_break_count,breaks_last_3y,years_since_last_break,had_prior_break,break_next_12m,split
11910,2015-01-01T00:00:00,45.9995756244,CI,200,198.221806387,KIT 4,0,0,,0,0,train
11920,2015-01-01T00:00:00,63.0019781378,CI,150,122.197984189,KIT 4,0,0,,0,0,train
11930,2015-01-01T00:00:00,61.9999041733,CI,150,148.782125969,KIT 4,1,0,12.1754724601,1,0,train
11970,2015-01-01T00:00:00,63.0019781378,CI,150,138.692689189,KIT 4,0,0,,0,0,train
11980,2015-01-01T00:00:00,63.0019781378,CI,150,202.224885185,KIT 4,0,0,,0,0,train
11990,2015-01-01T00:00:00,57.0004859785,CI,150,94.672019463,KIT 4,0,0,,0,0,train
12010,2015-01-01T00:00:00,37.0000752924,DI,300,28.1203005578,KIT 4,0,0,,0,0,train
12020,2015-01-01T00:00:00,24.0004928233,DI,300,56.4393042988,KIT 4,0,0,,0,0,train
12030,2015-01-01T00:00:00,37.0000752924,DI,300,68.6983831665,KIT 4,0,0,,0,0,train
12040,2015-01-01T00:00:00,24.0004928233,DI,300,79.1982598673,KIT 4,0,0,,0,0,train
12050,2015-01-01T00:00:00,37.0000752924,DI,300,28.6887277723,KIT 4,0,0,,0,0,train
12060,2015-01-01T00:00:00,37.0000752924,DI,300,179.686342232,KIT 4,0,0,,0,0,train
12070,2015-01-01T00:00:00,24.0004928233,DI,300,76.2004211549,KIT 4,0,0,,0,0,train
12080,2015-01-01T00:00:00,24.0004928233,DI,300,76.0388112797,KIT 4,0,0,,0,0,train
12090,2015-01-01T00:00:00,37.0000752924,DI,300,137.995080141,KIT 4,0,0,,0,0,train
1210,2015-01-01T00:00:00,53.9997398988,CPP,600,298.637389865,KIT 4,0,0,,0,0,train
12100,2015-01-01T00:00:00,28.0005749605,DI,300,49.3731286008,KIT 4,0,0,,0,0,train
12110,2015-01-01T00:00:00,28.0005749605,DI,300,88.1682349169,KIT 4,0,0,,0,0,train
12120,2015-01-01T00:00:00,37.0000752924,DI,300,73.2076413162,KIT 4,0,0,,0,0,train
12130,2015-01-01T00:00:00,28.0005749605,DI,300,69.2742822849,KIT 4,0,0,,0,0,train
12140,2015-01-01T00:00:00,37.0000752924,DI,300,198.346496915,KIT 4,0,0,,0,0,train
12150,2015-01-01T00:00:00,28.0005749605,DI,300,64.4619656986,KIT 4,0,0,,0,0,train
12160,2015-01-01T00:00:00,28.0005749605,DI,300,71.6230007519,KIT 4,0,0,,0,0,train
12170,2015-01-01T00:00:00,28.0005749605,DI,300,9.56320000814,KIT 4,0,0,,0,0,train
12180,2015-01-01T00:00:00,28.0005749605,DI,300,120.93326164,KIT 4,0,0,,0,0,train
12190,2015-01-01T00:00:00,37.0000752924,DI,300,111.153518228,KIT 4,0,0,,0,0,train
1220,2015-01-01T00:00:00,45.9995756244,DI,150,94.6328907462,KIT 4,0,0,,0,0,train
12200,2015-01-01T00:00:00,37.0000752924,DI,300,100.807106267,KIT 4,0,0,,0,0,train
12220,2015-01-01T00:00:00,44.8387030535,CPP,600,171.137655488,KIT 4,0,0,,0,0,train
12230,2015-01-01T00:00:00,63.5331320972,CI,300,95.9298126592,KIT 4,0,0,,0,0,train
12240,2015-01-01T00:00:00,65.0006502529,CI,450,288.047570911,KIT 4,0,0,,0,0,train
12250,2015-01-01T00:00:00,65.0006502529,CI,400,202.822011599,KIT 4,0,0,,0,0,train
12260,2015-01-01T00:00:00,53.9997398988,AC,450,4.9534030214,KIT 4,1,1,2.04521653422,1,0,train
12290,2015-01-01T00:00:00,63.5878902373,CI,450,194.994982589,KIT 4,0,0,,0,0,train
1230,2015-01-01T00:00:00,57.0004859785,CI,150,225.199099217,KIT 4,3,0,5.16369261518,1,1,train
12310,2015-01-01T00:00:00,23.504931655,DI,300,17.2665864524,KIT 4,0,0,,0,0,train
12330,2015-01-01T00:00:00,51.0017317262,CI,450,201.477799426,BRIDGEPORT,1,0,4.04388864932,1,0,train
12340,2015-01-01T00:00:00,37.1670876199,DI,200,139.89774138,KIT 2W,0,0,,0,0,train
12350,2015-01-01T00:00:00,56.0011499209,CI,200,115.047909756,KIT 4,0,0,,0,0,train
12370,2015-01-01T00:00:00,45.5861516664,DI,100,38.1899331514,KIT 4,0,0,,0,0,train
12380,2015-01-01T00:00:00,59.9163569409,CI,450,87.352906368,KIT 4,0,0,,0,0,train
12390,2015-01-01T00:00:00,36.0007392349,DI,300,7.23892240148,KIT 2E,0,0,,0,0,train
1240,2015-01-01T00:00:00,61.0005681157,CI,200,71.4016991674,KIT 4,0,0,,0,0,train
12420,2015-01-01T00:00:00,33.5037680445,DI,200,78.2049984156,BRIDGEPORT,0,0,,0,0,train
12440,2015-01-01T00:00:00,63.5878902373,CI,250,97.6278994378,KIT 4,0,0,,0,0,train
12450,2015-01-01T00:00:00,33.5859052547,DI,450,108.594514608,KIT 6,0,0,,0,0,train
12490,2015-01-01T00:00:00,24.5864049228,DI,300,25.2095619312,KIT 4,0,0,,0,0,train
1250,2015-01-01T00:00:00,60.0012320582,CI,300,242.377837931,KIT 4,1,1,1.12801768688,1,0,train
1260,2015-01-01T00:00:00,41.2082383622,CPP,600,256.103316969,KIT 4,0,0,,0,0,train
12630,2015-01-01T00:00:00,27.1682512303,CPP,600,157.222818281,KIT 2E,0,0,,0,0,train
12640,2015-01-01T00:00:00,32.5865691972,DI,300,148.369835005,KIT 4,0,0,,0,0,train
12660,2015-01-01T00:00:00,27.2312230915,DI,150,135.188299526,KIT 5,0,0,,0,0,train
1270,2015-01-01T00:00:00,39.0014853146,DI,300,25.9366470424,KIT 4,0,0,,0,0,train
12740,2015-01-01T00:00:00,23.5870688652,DI,150,83.299068068,KIT 4,0,0,,0,0,train
12770,2015-01-01T00:00:00,51.9928540627,DI,200,280.006052839,KIT 4,0,0,,0,0,train
1280,2015-01-01T00:00:00,49.0003217041,CPP,600,213.312794273,KIT 4,0,0,,0,0,train
12820,2015-01-01T00:00:00,30.5851591751,DI,150,72.1788635209,KIT 6,0,0,,0,0,train
12860,2015-01-01T00:00:00,42.5854055867,DI,150,7.31716662812,KIT 4,0,0,,0,0,train
12870,2015-01-01T00:00:00,45.0002395669,CPP,600,157.13924113,KIT 4,0,0,,0,0,train
12880,2015-01-01T00:00:00,37.5859873919,DI,300,383.425264812,KIT 2W,0,0,,0,0,train
12890,2015-01-01T00:00:00,65.9999863105,CI,300,243.139557063,KIT 4,0,0,,0,0,train
1290,2015-01-01T00:00:00,39.0014853146,DI,150,213.166599248,KIT 4,0,0,,0,0,train
12900,2015-01-01T00:00:00,37.5859873919,DI,150,177.42245233,KIT 2W,0,0,,0,0,train
12910,2015-01-01T00:00:00,44.5868156088,CPP,600,463.101564116,KIT 4,0,0,,0,0,train
12950,2015-01-01T00:00:00,33.5859052547,DI,150,67.1845331559,KIT 4,3,0,9.30614591675,1,0,train
12970,2015-01-01T00:00:00,63.5878902373,DI,250,272.417506901,KIT 4,0,0,,0,0,train
12980,2015-01-01T00:00:00,58.5857341355,DI,450,129.648960784,KIT 4,0,0,,0,0,train
1300,2015-01-01T00:00:00,39.0014853146,DI,150,2.77994534644,KIT 4,0,0,,0,0,train
13000,2015-01-01T00:00:00,27.9156998433,DI,200,119.873871541,KIT 5,0,0,,0,0,train
13020,2015-01-01T00:00:00,9.77159010794,DI,150,114.949886017,KIT 4,0,0,,0,0,train
13060,2015-01-01T00:00:00,38.1664236774,DI,150,134.584024295,KIT 4,0,0,,0,0,train
13070,2015-01-01T00:00:00,24.5864049228,DI,150,175.946032809,KIT 2W,0,0,,0,0,train
13080,2015-01-01T00:00:00,36.838538779,DI,300,156.32185618,KIT 4,0,0,,0,0,train
13120,2015-01-01T00:00:00,54.5856519983,DI,100,77.1251828626,KIT 4,1,0,14.9325448161,1,0,train
13130,2015-01-01T00:00:00,50.5855698611,DI,100,51.7773711387,KIT 4,0,0,,0,0,train
13160,2015-01-01T00:00:00,47.5875616885,DI,300,16.0708298784,KIT 4,0,0,,0,0,train
13200,2015-01-01T00:00:00,37.99941135,DI,150,35.2569321367,KIT 4,0,0,,0,0,train
13210,2015-01-01T00:00:00,27.5871510024,DI,150,5.92692463298,KIT 2E,0,0,,0,0,train
13230,2015-01-01T00:00:00,40.5867334716,DI,150,90.1593609683,KIT 5,0,0,,0,0,train
13240,2015-01-01T00:00:00,58.5857341355,CI,150,147.640266107,KIT 4,0,0,,0,0,train
13260,2015-01-01T00:00:00,24.9998288808,DI,450,214.41801447,KIT 6,0,0,,0,0,train
13270,2015-01-01T00:00:00,26.5850770379,DI,300,57.4432938275,KIT 4,0,0,,0,0,train
13290,2015-01-01T00:00:00,58.5857341355,CI,150,99.7397380489,KIT 4,0,0,,0,0,train
1330,2015-01-01T00:00:00,53.9997398988,CI,200,204.698431806,KIT 4,3,0,3.18966166314,1,0,train
13310,2015-01-01T00:00:00,52.0010677837,CI,400,1.93629787176,KIT 5,0,0,,0,0,train
133170,2015-01-01T00:00:00,0.213556746545,PVCO,300,0.399939621061,KIT 4,0,0,,0,0,train
133172,2015-01-01T00:00:00,61.9999041733,CI,200,21.0185985622,KIT 4,0,0,,0,0,train
133296,2015-01-01T00:00:00,45.5040144561,DI,450,4.14059250111,KIT 4,0,0,,0,0,train
13330,2015-01-01T00:00:00,27.5871510024,CPP,300,4.13043679224,KIT 2E,0,0,,0,0,train
133300,2015-01-01T00:00:00,45.5040144561,DI,450,19.9187896493,KIT 2W,0,0,,0,0,train
133314,2015-01-01T00:00:00,51.0017317262,CI,300,12.4268181029,KIT 4,1,1,2.14651909348,1,0,train
133332,2015-01-01T00:00:00,5.65104006242,PVC,600,50.4911296021,MANNHEIM,0,0,,0,0,train
133334,2015-01-01T00:00:00,5.65104006242,PVC,450,71.8219600649,KIT 6,0,0,,0,0,train
133394,2015-01-01T00:00:00,0.334024654853,PVCO,150,88.7907440684,KIT 4,0,0,,0,0,train
133398,2015-01-01T00:00:00,0.334024654853,PVCO,150,11.8284531581,KIT 4,0,0,,0,0,train
13340,2015-01-01T00:00:00,27.5871510024,CPP,300,25.6514713012,KIT 2E,0,0,,0,0,train
133400,2015-01-01T00:00:00,0.334024654853,PVCO,150,5.15000349711,KIT 4,0,0,,0,0,train
133410,2015-01-01T00:00:00,0.334024654853,PVCO,150,92.2010759061,KIT 4,0,0,,0,0,train
133412,2015-01-01T00:00:00,0.334024654853,PVCO,150,97.0814419522,KIT 4,0,0,,0,0,train
133420,2015-01-01T00:00:00,0.334024654853,PVCO,150,166.605189376,KIT 4,0,0,,0,0,train
133422,2015-01-01T00:00:00,0.334024654853,PVCO,150,7.50313225342,KIT 4,0,0,,0,0,train
133424,2015-01-01T00:00:00,0.334024654853,PVCO,150,3.41423670161,KIT 4,0,0,,0,0,train
133426,2015-01-01T00:00:00,0.334024654853,PVCO,150,7.50727393269,KIT 4,0,0,,0,0,train
133428,2015-01-01T00:00:00,0.334024654853,PVCO,150,3.0401283804,KIT 4,0,0,,0,0,train
133434,2015-01-01T00:00:00,0.334024654853,PVCO,150,3.03112594877,KIT 4,0,0,,0,0,train
133452,2015-01-01T00:00:00,40.0856964893,AC,150,47.2491337657,KIT 4,0,0,,0,0,train
133472,2015-01-01T00:00:00,58.5857341355,CI,150,4.64879538387,KIT 4,0,0,,0,0,train
133492,2015-01-01T00:00:00,17.9990006639,DI,600,16.9054994502,KIT 5,0,0,,0,0,train
133572,2015-01-01T00:00:00,3.14311724402,PVC,300,6.21308800779,KIT 4,0,0,,0,0,train
13360,2015-01-01T00:00:00,27.5871510024,DI,150,87.0550619912,KIT 4,0,0,,0,0,train
133652,2015-01-01T00:00:00,5.30880168655,PVC,450,3.18266177516,KIT 6,0,0,,0,0,train
13370,2015-01-01T00:00:00,40.0856964893,DI,300,173.285031338,KIT 4,0,0,,0,0,train
133752,2015-01-01T00:00:00,2.25055955974,PVC,150,1.974017351,KIT 4,0,0,,0,0,train
133754,2015-01-01T00:00:00,12.547827813,PVC,300,2.53551912194,KIT 4,0,0,,0,0,train
133776,2015-01-01T00:00:00,65.0006502529,CI,200,1.58013414895,KIT 4,0,0,,0,0,train
133812,2015-01-01T00:00:00,49.2522091487,CI,300,174.884654323,KIT 4,0,0,,0,0,train
133834,2015-01-01T00:00:00,7.86600683108,PVC,300,0.0347332704136,KIT 4,0,0,,0,0,train
133872,2015-01-01T00:00:00,16.5862406483,PVC,200,0.277741120379,KIT 2EA,0,0,,0,0,train
133874,2015-01-01T00:00:00,16.5862406483,PVC,200,0.277837722583,KIT 2E,0,0,,0,0,train
133876,2015-01-01T00:00:00,16.5862406483,PVC,200,0.297825939202,KIT 2EA,0,0,,0,0,train
133878,2015-01-01T00:00:00,16.5862406483,PVC,200,0.297729339541,KIT 2E,0,0,,0,0,train
133880,2015-01-01T00:00:00,14.5848306262,PVC,200,1.3569957341,KIT 2EA,0,0,,0,0,train
133896,2015-01-01T00:00:00,36.0007392349,DI,150,34.0867492427,KIT 4,2,0,15.9756873858,1,0,train
133898,2015-01-01T00:00:00,0.731021170866,PVC,200,3.95677863061,KIT 4,0,0,,0,0,train
13390,2015-01-01T00:00:00,22.5028576904,CI,450,652.3194109,KIT 4,0,0,,0,0,train
133924,2015-01-01T00:00:00,2.66945933181,PVC,150,5.27406971828,KIT 4,0,0,,0,0,train
1340,2015-01-01T00:00:00,53.9997398988,CI,200,134.649024294,KIT 4,2,0,7.88517218013,1,0,train
