source_file,source_row_number,raw__source_object_id,source_object_id,raw__asset_id,asset_id,raw__status,status,raw__pressure_zone,pressure_zone,raw__road_segment_id,road_segment_id,raw__map_label,map_label,raw__category,category,raw__pipe_size,pipe_size,raw__material,material,raw__lined,lined,raw__lined_date,lined_date,raw__lined_material,lined_material,raw__installation_date,installation_date,raw__acquisition,acquisition,raw__consultant,consultant,raw__ownership,ownership,raw__bridge_main,bridge_main,raw__bridge_details,bridge_details,raw__criticality,criticality,raw__rel_cleaning_area,rel_cleaning_area,raw__rel_cleaning_subarea,rel_cleaning_subarea,raw__undersized,undersized,raw__shallow_main,shallow_main,raw__condition_score,condition_score,raw__oversized,oversized,raw__cleaned,cleaned,raw__length_m,length_m,invalid_primary_key,invalid_pipe_size,model_asset_eligible
Water_Mains_5473643541506873803.csv,6126,84997,84997,81248,81248,ACTIVE,ACTIVE,KIT 4,KIT 4,1349,1349,10.8m 150mm  PVC,10.8m 150mm  PVC,TREATED,TREATED,150,150,PVC,PVC,NO,NO,,,NONE,NONE,1/1/1994 12:00:00 AM,1994-01-01T00:00:00,DONATED,DONATED,,,KITCHENER,KITCHENER,N,N,,,7,7,2,2,9,9,N,N,N,N,9.35,9.35,N,N,Y,Y,10.756571862905,10.7565718629,False,False,True
Water_Mains_5473643541506873803.csv,6127,84998,84998,81250,81250,ACTIVE,ACTIVE,KIT 4,KIT 4,1351,1351,10.9m 150mm  PVC,10.9m 150mm  PVC,TREATED,TREATED,150,150,PVC,PVC,NO,NO,,,NONE,NONE,1/1/1994 12:00:00 AM,1994-01-01T00:00:00,DONATED,DONATED,,,KITCHENER,KITCHENER,N,N,,,6,6,1,1,26,26,N,N,N,N,9.35,9.35,N,N,Y,Y,10.9129035919406,10.9129035919,False,False,True
Water_Mains_5473643541506873803.csv,6128,84999,84999,81252,81252,ACTIVE,ACTIVE,KIT 4,KIT 4,1350,1350,20.9m 200mm  DI,20.9m 200mm  DI,TREATED,TREATED,200,200,DI,DI,NO,NO,,,NONE,NONE,6/1/1976 12:00:00 AM,1976-06-01T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,6,6,2,2,9,9,N,N,N,N,8.5,8.5,N,N,Y,Y,20.8594212973022,20.8594212973,False,False,True
Water_Mains_5473643541506873803.csv,6129,85000,85000,81254,81254,ACTIVE,ACTIVE,KIT 4,KIT 4,1662,1662,6.4m 300mm  PVC,6.4m 300mm  PVC,TREATED,TREATED,300,300,PVC,PVC,NO,NO,,,NONE,NONE,8/5/2010 12:00:00 AM,2010-08-05T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,7,7,2,2,9,9,N,N,N,N,9.35,9.35,N,N,Y,Y,6.4420632252389,6.44206322524,False,False,True
Water_Mains_5473643541506873803.csv,6130,85001,85001,89276,89276,ACTIVE,ACTIVE,KIT 4,KIT 4,1408,1408,.9m 200mm  DI,.9m 200mm  DI,TREATED,TREATED,200,200,DI,DI,NO,NO,,,NONE,NONE,1/1/1988 12:00:00 AM,1988-01-01T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,0,0,1,1,27,27,N,N,N,N,9.1,9.1,N,N,Y,Y,0.874043933848703,0.874043933849,False,False,True
Water_Mains_5473643541506873803.csv,6131,85002,85002,64280,64280,ACTIVE,ACTIVE,KIT 4,KIT 4,1408,1408,8.8m 200mm  DI,8.8m 200mm  DI,TREATED,TREATED,200,200,DI,DI,NO,NO,,,NONE,NONE,1/1/1988 12:00:00 AM,1988-01-01T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,6,6,1,1,27,27,N,N,N,N,9.1,9.1,N,N,Y,Y,8.75678366070151,8.7567836607,False,False,True
Water_Mains_5473643541506873803.csv,6132,85003,85003,81256,81256,ACTIVE,ACTIVE,KIT 4,KIT 4,1347,1347,176.2m 300mm  PVC,176.2m 300mm  PVC,TREATED,TREATED,300,300,PVC,PVC,NO,NO,,,NONE,NONE,3/1/2000 12:00:00 AM,2000-03-01T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,7,7,2,2,9,9,N,N,N,N,9.35,9.35,N,N,Y,Y,176.168778962071,176.168778962,False,False,True
Water_Mains_5473643541506873803.csv,6133,85004,85004,81266,81266,ACTIVE,ACTIVE,KIT 4,KIT 4,1661,1661,12.1m 300mm  PVC,12.1m 300mm  PVC,TREATED,TREATED,300,300,PVC,PVC,NO,NO,,,NONE,NONE,6/1/2000 12:00:00 AM,2000-06-01T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,6,6,1,1,27,27,N,N,N,N,9.35,9.35,N,N,Y,Y,12.1150058988705,12.1150058989,False,False,True
Water_Mains_5473643541506873803.csv,6134,85005,85005,81224,81224,ACTIVE,ACTIVE,KIT 4,KIT 4,8577,8577,1.1m 300mm  PVC,1.1m 300mm  PVC,TREATED,TREATED,300,300,PVC,PVC,NO,NO,,,NONE,NONE,8/5/2010 12:00:00 AM,2010-08-05T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,8,8,2,2,9,9,N,N,N,N,9.35,9.35,N,N,Y,Y,1.08902022482759,1.08902022483,False,False,True
Water_Mains_5473643541506873803.csv,6135,85006,85006,81258,81258,ACTIVE,ACTIVE,KIT 4,KIT 4,1662,1662,16m 300mm  PVC,16m 300mm  PVC,TREATED,TREATED,300,300,PVC,PVC,NO,NO,,,NONE,NONE,8/5/2010 12:00:00 AM,2010-08-05T00:00:00,PURCHASED,PURCHASED,,,KITCHENER,KITCHENER,N,N,,,0,0,2,2,9,9,N,N,N,N,9.35,9.35,N,N,Y,Y,16.0471018839188,16.0471018839,False,False,True
